Zip Code,City,County,State,Market Status,Priority Level,Avg Home Value,Avg Days on Market,Total Leads,Contracts Won,Success Rate,Notes,Last Updated
# TENNESSEE
# Nashville Metro Area
37013,Antioch,Davidson,TN,Active,High,350000,25,0,0,0%,Nashville suburb,
37027,Brentwood,Williamson,TN,Active,Medium,650000,30,0,0,0%,Affluent area,
37064,Franklin,Williamson,TN,Active,Medium,550000,28,0,0,0%,Growing suburb,
37072,Goodlettsville,Davidson,TN,Active,High,325000,30,0,0,0%,Good investment area,
37076,Hermitage,Davidson,TN,Active,High,350000,28,0,0,0%,East Nashville,
37080,Joelton,Davidson,TN,Active,High,300000,32,0,0,0%,Rural feel,
37115,Madison,Davidson,TN,Active,High,275000,30,0,0,0%,Affordable Nashville,
37122,Mount Juliet,Wilson,TN,Active,High,425000,22,0,0,0%,Fast growing,
37128,Murfreesboro,Rutherford,TN,Active,High,375000,25,0,0,0%,Major suburb,
37129,Murfreesboro,Rutherford,TN,Active,High,385000,24,0,0,0%,Growing area,
37130,Murfreesboro,Rutherford,TN,Active,High,365000,26,0,0,0%,MTSU area,
37135,Nolensville,Williamson,TN,Active,Medium,525000,28,0,0,0%,New development,
37138,Old Hickory,Davidson,TN,Active,High,325000,30,0,0,0%,Lake area,
37167,Smyrna,Rutherford,TN,Active,High,350000,26,0,0,0%,Nissan plant,
37189,Whites Creek,Davidson,TN,Active,High,285000,32,0,0,0%,North Nashville,
37201,Nashville,Davidson,TN,Active,Medium,425000,25,0,0,0%,Downtown,
37203,Nashville,Davidson,TN,Active,Medium,475000,22,0,0,0%,Midtown,
37204,Nashville,Davidson,TN,Active,Medium,550000,24,0,0,0%,Berry Hill,
37205,Nashville,Davidson,TN,Active,Low,750000,30,0,0,0%,Belle Meade - expensive,
37206,Nashville,Davidson,TN,Active,High,425000,22,0,0,0%,East Nashville,
37207,Nashville,Davidson,TN,Active,High,275000,28,0,0,0%,North Nashville,
37208,Nashville,Davidson,TN,Active,High,325000,26,0,0,0%,Germantown,
37209,Nashville,Davidson,TN,Active,High,375000,24,0,0,0%,The Nations,
37210,Nashville,Davidson,TN,Active,High,325000,28,0,0,0%,South Nashville,
37211,Nashville,Davidson,TN,Active,High,350000,26,0,0,0%,Glencliff,
37212,Nashville,Davidson,TN,Active,Medium,525000,22,0,0,0%,Belmont/Hillsboro,
37214,Nashville,Davidson,TN,Active,High,350000,28,0,0,0%,Donelson,
